id,start,destination,price
766,Pensacola,Houma,1414.92
767,Dallas,Coral Springs,2014.67
768,Melbourne,Fremont,1523.2
769,Kailua,Columbus,2477.82
770,Savannah,Newark,221.19
771,Modesto,Punta Gorda,494.97
772,Palmdale,Antioch,629.73
773,Buffalo,Naples,1825.28
774,Pensacola,Independence,1116.66
775,Richmond,Ontario,752.13
776,Newark,Newburgh,362.21
777,Boulder,Oceanside,182.69
778,Grand Rapids,Tyler,1468.42
779,Fresno,Oceanside,2203.62
780,Fort Collins,Peoria,119.45
781,Macon,Jacksonville,2381.04
782,Nashville,Port Arthur,516.91
783,Ontario,Omaha,1200.28
784,Fayetteville,Riverside,1997.57
785,San Jose,Richmond County,971.11
786,Gilbert,Fort Smith,2415.51
787,Abilene,Lacey,2358.47
788,Canton,Bonita Springs,1419.92
789,Nashville,Flint,481.73
790,Henderson,Deltona,1983.66
791,Chandler,Fort Wayne,1539.56
792,Scranton,Burlington,1838.77
793,Monterey,Las Vegas,758.56
794,Mobile,Appleton,2392.0
795,Oklahoma City,Overland Park,1447.65
796,Bryan,Bethlehem,642.15
797,Albuquerque,Denton,471.9
798,Downey,Odessa,890.0
799,Scottsdale,Fontana,2113.11
800,Jackson,New Bedford,769.47
801,Pensacola,Fort Wayne,645.41
802,Ann Arbor,Corpus Christi,603.77
803,Chula Vista,Clarke County,1661.9
804,Ontario,Peoria,1296.85
805,Irvine,Punta Gorda,705.68
806,Tyler,Santa Clara,736.24
807,Columbus,Provo,1513.85
808,Newburgh,Ocala,1467.15
809,Tyler,Escondido,1647.91
810,New York City,Grand Prairie,1239.18
811,Port Saint Lucie,Cleveland,2107.98
812,Sioux City,Vero Beach,637.41
813,Dallas,Richmond,2196.22
814,New Orleans,Brownsville,1900.66
815,Normal,Alexandria,1483.36
816,Eugene,Minneapolis,1818.77
817,West Valley City,Salinas,1781.17
818,Huntington Beach,San Antonio,343.39
819,Round Lake Beach,Paterson,904.97
820,Escondido,Palmdale,1456.93
821,Las Cruces,Champaign,2065.93
822,Orem,Palm Springs,2428.36
823,Albuquerque,Worcester,740.46
824,Houma,New York,1354.19
825,Port Saint Lucie,Nashua,2008.12
826,Norwalk,Brownsville,1582.49
827,Scranton,Naperville,764.76
828,Fullerton,Denton,308.78
829,Bonita Springs,Winter Haven,806.56
830,Myrtle Beach,Roseville,1682.6
831,Canton,Albuquerque,1146.34
832,Allentown,Saint Petersburg,136.8
833,College Station,Punta Gorda,523.11
834,Kailua,Canton,2262.52
835,Oakland,Fullerton,1538.6
836,Denton,Trenton,2125.36
837,Palm Springs,Orem,1438.11
838,Grand Prairie,Santa Rosa,1123.28
839,Thornton,Lorain,2049.37
840,Kalamazoo,Phoenix,1595.75
841,Colorado Springs,Fort Worth,240.21
842,Deltona,Amarillo,2144.83
843,Long Beach,Huntington,2416.28
844,Clarke County,Lincoln,579.41
845,Cathedral City,Billings,2203.61
846,Cambridge,Tyler,1191.51
847,Grayslake,Manchester,1980.01
848,Round Lake Beach,Port Saint Lucie,1656.08
849,Milwaukee,Kalamazoo,1054.42
850,Lancaster,Akron,756.02
851,Murfreesboro,Bremerton,1348.99
852,Oceanside,Vancouver,2312.48
853,Yonkers,Lafayette,2425.57
854,Dayton,Beaumont,1830.03
855,Saint Louis,Escondido,1712.03
856,Chesapeake,Jackson,2392.65
857,Medford,Laredo,464.14
858,Huntington,Detroit,2194.87
859,Garden Grove,York,783.31
860,Rancho Cucamonga,Newark,1581.41
861,Berkeley,Santa Rosa,1636.16
862,Springdale,Laredo,1503.15
863,Roseville,Cedar Rapids,513.97
864,Spokane,Bridgeport,618.22
865,Wichita,Saint Paul,1914.88
866,Oceanside,Charleston,1975.32
867,Rochester,Stockton,1164.72
868,Plano,Bethlehem,1210.6
869,Downey,Grand Rapids,1170.88
870,Spokane,Boulder,1271.46
871,Marina,McHenry,1243.1
872,Bremerton,Pembroke Pines,1849.74
873,Glendale,Amarillo,1653.14
874,West Covina,Burbank,1938.11
875,Pensacola,Portland,1499.8
876,Greensboro,Boulder,237.16
877,Manchester,Orlando,490.67
878,Kaneohe,Carrollton,1197.85
879,Chesapeake,Newburgh,1970.78
880,Champaign,Jackson,1036.88
881,Sunnyvale,Davidson County,315.62
882,Trenton,Winter Haven,897.26
883,Hialeah,Waco,1625.47
884,Syracuse,Kansas City,1124.84
885,Independence,Kaneohe,712.7
886,Kansas City,Las Cruces,1164.61
887,Tacoma,Huntington,2241.48
888,Waterbury,Sunnyvale,192.79
889,Akron,Barnstable,482.42
890,Jacksonville,Waterbury,2149.93
891,Reno,Bellevue,1861.18
892,Fort Worth,Oklahoma City,717.11
893,Monroe,Irvine,2442.49
894,South Bend,Leominster,1460.9
895,Brighton,High Point,229.12
896,Philadelphia,Burlington,1814.58
897,Joliet,Lake Charles,613.53
898,Milwaukee,Santa Cruz,1691.44
899,Ontario,Cathedral City,732.01
900,Norfolk,Roseville,1851.7
901,Coral Springs,Saint Paul,455.77
902,Norwich,Portland,750.39
903,Winston,North Port,263.23
904,Flint,Little Rock,2043.04
905,Newark,Coral Springs,2086.08
906,Albany,Boulder,129.69
907,Asheville,Port St. Lucie,2021.73
908,St. Paul,Paterson,418.55
909,Abilene,Denver,2384.58
910,Chula Vista,Ann Arbor,2424.84
911,Norman,Lafayette,322.76
912,McAllen,Vancouver,276.29
913,Hialeah,Bridgeport,2219.7
914,Antioch,Roseville,274.02
915,Springdale,Miramar,223.66
916,Huntsville,Kenosha,453.78
917,Kailua,McAllen,1150.95
918,Kennewick,Lincoln,496.59
919,Asheville,Torrance,198.17
920,Columbus,St. Louis,997.67
921,Hemet,Jersey City,1186.73
922,Richmond County,Saint Louis,2063.12
923,Deltona,Lakewood,1598.06
924,Stamford,Bryan,2191.76
925,Huntsville,Havre de Grace,1197.48
926,Bonita Springs,Naples,613.17
927,Norwalk,Nashua,1927.83
928,Kaneohe,Garland,1738.5
929,Medford,Saint Louis,223.86
930,Coral Springs,Bryan,1233.87
931,Newport News,Bridgeport,2410.16
932,Virginia Beach,Atlanta,1495.52
933,San Antonio,Saint Paul,589.0
934,Spokane,Lakeland,1485.48
935,Tallahassee,Lubbock,1688.64
936,Mesa,New London,2294.18
937,Saint Petersburg,Odessa,700.04
938,Richland,Montgomery,185.94
939,Ontario,Philadelphia,488.17
940,Fort Walton Beach,Springdale,218.11
941,Columbia,Lowell,398.3
942,Detroit,Abilene,522.76
943,Frederick,Sioux City,1611.0
944,North Port,Charlotte,1670.24
945,Cleveland,Modesto,2184.63
946,Virginia Beach,Lubbock,2031.2
947,Reno,Garden Grove,1165.74
948,Lewisville,Gainesville,2174.82
949,Ann Arbor,Rockford,1656.71
950,Berkeley,Westminster,1110.41
951,Santa Clarita,Salt Lake City,1695.16
952,Boston,Washington,2339.53
953,Albuquerque,Chandler,1172.34
954,Fullerton,Dayton,2328.72
955,Waterbury,Tuscaloosa,271.51
956,Salinas,Orange,78.52
957,New London,Overland Park,423.65
958,North Port,Ocala,2281.15
959,Kenosha,Harlingen,2359.18
960,Canton,Riverside,1641.29
961,Paterson,High Point,2116.67
962,Boise City,Olathe,1708.52
963,Santa Clara,Bremerton,1881.44
964,New Orleans,Macon,870.14
965,Palm Springs,Odessa,1677.93
966,Long Beach,Kailua,1128.33
967,Port St. Lucie,Rockford,223.4
968,St. Paul,Chicago,466.43
969,Marysville,Richmond,1330.16
970,Nashua,York,210.75
971,Abilene,Cedar Rapids,2128.91
972,Joliet,Long Beach,1389.29
973,Seaside,Baton Rouge,189.05
974,Sunnyvale,Mobile,2495.54
975,Orange,Sunnyvale,1442.46
976,Austin,El Paso,2302.84
977,Pomona,Fairfield,567.81
978,Lowell,McAllen,2066.77
979,Olympia,North Port,1893.5
980,Inglewood,Green Bay,801.33
981,Anaheim,New Bedford,855.13
982,Garden Grove,Raleigh,852.34
983,Toledo,New Bedford,624.65
984,West Covina,Bakersfield,585.49
985,Santa Clara,Inglewood,1816.17
986,Chula Vista,Hampton,1318.59
987,Aberdeen,Atlanta,1445.06
988,Clearwater,Syracuse,1306.99
989,Eugene,Hampton,2025.21
990,Dayton,Anaheim,1782.99
991,Athens,Jefferson,653.59
992,Lafayette,Albany,1960.19
993,Pueblo,Seattle,936.5
994,Asheville,Charlotte,2131.9
995,Bonita Springs,Atlantic City,2176.78
996,Tampa,Davenport,139.15
997,Akron,South Bend,1744.38
998,Santa Ana,Baton Rouge,2028.45
999,Aberdeen,Yonkers,2182.09
1000,Deltona,Kaneohe,2016.61
